29,-0.0173,0.0233,2.0538,0.3484,NoQuebro
25,0.1933,0.0473,2.2506,0.3309,NoQuebro
40,-0.333,-0.0854,3.0124,0.473,NoQuebro
42,0.5603,0.1112,4.2918,0.4443,NoQuebro
24,0.3776,0.1075,3.2651,0.3548,NoQuebro
41,0.4785,0.091,1.2444,0.1847,NoQuebro
38,0.2907,0.0597,1.8381,0.3786,NoQuebro
34,0.1398,-0.0312,0.4611,0.2643,NoQuebro
23,0.0769,0.0195,2.0069,0.5304,NoQuebro
22,0.5135,0.1001,2.4871,0.5368,NoQuebro
45,0.1661,0.0351,2.4527,0.137,NoQuebro
27,0.3132,0.0511,4.45,0.6852,NoQuebro
35,0.1379,0.0728,2.6123,0.5151,NoQuebro
33,-0.0985,-0.0123,2.5029,0.5778,NoQuebro
44,0.4746,0.138,2.9166,0.4487,NoQuebro
32,0.146,0.0518,2.1692,0.55,NoQuebro
43,0.2029,0.0792,1.9936,0.3018,NoQuebro
28,0.1184,0.0499,2.521,0.6925,NoQuebro
30,0.2169,0.0779,2.3489,0.397,NoQuebro
46,0.5808,0.0371,5.0594,0.1268,NoQuebro
36,0.1486,0.0564,2.2347,0.5563,NoQuebro
26,0.3248,0.0718,4.2401,0.6279,NoQuebro
37,0.1633,0.0486,2.308,0.1978,NoQuebro
39,0.5383,0.1064,2.3293,0.4835,NoQuebro
31,0.1703,0.0695,1.7973,0.5174,NoQuebro
